"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Xi pledges stronger support to rid all Chinese of poverty by 2020,Xi Jinping,Xi pledges stronger support to rid all Chinese of poverty by 2020,Xi Jinping,Xi pledges stronger support to rid all Chinese of poverty by 2020,Xi Jinping,Xi pledges stronger support to rid all Chinese of poverty by 2020,Xi Jinping,16.10.2015,16.10.2015,16.10.2015,TRUE,16.10.2015,"October 16, 2015",,,,http://news.xinhuanet.com/english/2015-10/16/c_134720151.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=23287
Xi announces major measures to support UN,Xi Jinping,Xi announces major measures to support UN,Xi Jinping,Xi announces major measures to support UN,Xi Jinping,"Xi Jinping Attends China-US Governors Forum, Xi Jinping Meets with Personages Including Governor of Washington State Jay Inslee, Mayor of Seattle Ed Murray and Senator and Congressman from Washington State, Xi calls on China, U.S. to enhance local-level cooperation, Chinese president arrives in Seattle for first U.S. state visit, Xi calls for constructive China-U.S. cyber dialogue in Microsoft HQ tour, Xi hopes Chinese community contributes more to Sino-American friendship, China signs deal to buy 300 Boeing aircraft, Xi reassures U.S. business leaders on economy, Xi, Obama have three-hour-long talk on ties in Blair House, China's Internet policy chief urges China-U.S. cooperation in cybergovernance, Xi arrives in Washington, Xi Jinping addresses a welcome ceremony held by Boeing Company, China, U.S. reach important consensus on fighting cyber crimes, Xi, Obama start talks at White House, Xi's first state visit to U.S. culminates in Washington, charting clearer direction for bilateral ties, Chinese, U.S. first ladies name baby Panda at D.C. National Zoo, Chinese president meets U.S. Congress leaders, Xi attends luncheon hosted by Biden, Kerry at State Department, Obama holds grand welcome ceremony for Xi, Xi says he visits U.S. for peace, cooperation, Realizing Chinese Dream is in essence promotion of human rights, China, U.S. share common interests on South China Sea issue, Xi raises six-point proposal for developing China-U.S. ties, Xi calls for equitable, open, all-round development, Xi puts forward four-point proposal on global development, China pledges 2 bln USD to support South-South cooperation, calls for equitable development, Xi announces major anti-poverty initiatives, Xi Jinping addresses the United Nations Sustainable Development Summit 2015 at the UN headquarters in New York, Xi calls for closer cooperation with Romania, Xi pushes for closer South-South cooperation at UN, Xi Jinping Attends Ceremony of Presenting Zun of Peace from China to the UN, Xi Jinping Meets with President Muhammadu Buhari of Nigeria, Xi Jinping Attends and Addresses Global Leaders' Meeting on Gender Equality and Women's Empowerment, Xi Jinping Meets with President Ernest Bai Koroma of Sierra Leone, Xi reaffirms China's climate ambition, urges concrete actions, Chinese president calls for development, stability to resolve European refugee crisis, Xi addresses Leaders' Summit on Peacekeeping at UN headquarters, President Xi meets with Greek PM in New York, Xi says China-Iran cooperation faces new opportunities, Xi calls for closer cooperation with Denmark, Chinese president advocates new type of int'l relations, Xi says China to always vote for developing countries in UN, Xi announces major measures to support UN","Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Liyuan Peng, Xi Jinping, Xi Jinping, Xi Jinping, Yang Jiechi, Xi Jinping, Wang Yi, Yang Jiechi, Barack Obama, Lu Wei, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Li Zhanshu, Wang Yi, Barack Obama, Joe Biden, John Kerry, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Barack Obama, Xi Jinping, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Klaus Iohannis, Xi Jinping, Ki-moon Ban, Xi Jinping, Ki-moon Ban, Liyuan Peng, Xi Jinping, Muhammadu Buhari, Xi Jinping, Xi Jinping, Ernest Bai Koroma, Xi Jinping, Ki-moon Ban, Xi Jinping, Xi Jinping, Xi Jinping, Alexis Tsipras, Xi Jinping, Hassan Rouhani, Xi Jinping, Lars Rasmussen, Xi Jinping, Xi Jinping, Xi Jinping",22.9.2015 - 28.9.2015,28.9.2015,28.9.2015,TRUE,28.9.2015,"September 28, 2015",USA,New York,New York,http://news.xinhuanet.com/english/2015-09/29/c_134669393.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=23153
Xi pledges closer China-Afghanistan security cooperation,"Xi Jinping, Ashraf Ghani",Xi pledges closer China-Afghanistan security cooperation,"Xi Jinping, Ashraf Ghani",Xi pledges closer China-Afghanistan security cooperation,"Xi Jinping, Ashraf Ghani","Xi, Putin meet ahead of BRICS, SCO summits, Chinese president meets Indian PM ahead of multilateral summits, Xi calls for joint Chinese-Indian efforts in building stronger BRICS partnership, Xi urges China, Russia to maintain high-level coordination within SCO, Chinese president meets with South African president in Ufa, China delighted to see new progress made in Iran nuclear talks: FM, Xi stresses IMF reforms, upward trend of BRICS economy, Chinese president urges BRICS to oppose historical revisionism, China-Brazil ties develop vigorously: Xi, Xi urges quickened construction of China-Russia-Mongolia economic corridor, Xi urges BRICS, SCO, EEU to cooperate for people's welfare, Xi urges business community to contribute to BRICS economic development, Xi calls on BRICS to forge community of destiny for common prosperity, Xi voices confidence in BRICS future, proposes deepening partnership, SCO leaders underscore regional security, peaceful settlement of hotspot issues, SCO member states jointly oppose distortion of WWII results, Putin expects Chinese firms to make ""significant contribution"" to Russia's Siberia, Far East, China welcomes SCO expansion, calls for upholding ""Shanghai Spirit"", SCO starts expansion, ratifies 10-year development strategy, Xi pledges closer China-Afghanistan security cooperation, Xi says granting India, Pakistan membership to inject new impetus into SCO, Chinese president welcomes Pakistan's entry into SCO, Xi says granting India, Pakistan membership to inject new impetus into SCO, Xi pledges closer China-Afghanistan security cooperation","Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Jacob Zuma, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Dilma Rousseff, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Nawaz Sharif, Xi Jinping, Xi Jinping, Ashraf Ghani",8.7.2015 - 10.7.2015,10.7.2015,10.7.2015,TRUE,10.7.2015,"July 10, 2015",Russia,Ufa,,http://news.xinhuanet.com/english/2015-07/10/c_134401664.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22678
President Xi visits China-Belarus Industrial Park in Minsk,"Xi Jinping, Alexander Lukashenko",President Xi visits China-Belarus Industrial Park in Minsk,"Xi Jinping, Alexander Lukashenko",President Xi visits China-Belarus Industrial Park in Minsk,"Xi Jinping, Alexander Lukashenko","China, Belarus vow to combine development strategies, boost partnership, Chinese president arrives in Belarus for state visit, Chinese president honors Belarusian WWII veterans, Xi calls for broader China-Belarus cooperation at local level, China, Belarus pledge closer cooperation on industrial park, Xi calls for early ratification of China-Belarus cooperation treaty, President Xi visits China-Belarus Industrial Park in Minsk","Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Alexander Lukashenko, Xi Jinping, Xi Jinping, Mikhail Myasnikovich, Vladimir Andreichenko, Xi Jinping, Alexander Lukashenko",10.5.2015 - 12.5.2015,12.5.2015,12.5.2015,TRUE,12.5.2015,"May 12, 2015",Belarus,Minsk,,http://news.xinhuanet.com/english/photo/2015-05/13/c_134233452.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22243
"China, Russia pledge to remember history, strengthen practical cooperation","Xi Jinping, Vladimir Putin","China, Russia pledge to remember history, strengthen practical cooperation","Xi Jinping, Vladimir Putin","China, Russia pledge to remember history, strengthen practical cooperation","Xi Jinping, Vladimir Putin","Chinese president arrives in Moscow for Great Patriotic War Victory celebration, Xi, Putin hold talks ahead of Russia's V-Day parade, Chinese president honors Russian WWII veterans with medals and care, China, Russia call for proper settlements of major int'l issues, China, Russia agree to integrate Belt initiative with EAEU construction, China, Russia pledge to remember history, strengthen practical cooperation","Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin",8.5.2015,8.5.2015,8.5.2015,TRUE,8.5.2015,"May 08, 2015",Russia,Moscow,,http://news.xinhuanet.com/english/2015-05/09/c_134222884.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22216
"China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Nursultan Nazarbayev","China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Nursultan Nazarbayev","China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Nursultan Nazarbayev","Chinese president visits Kazakhstan to boost cooperation along ancient trade route, China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Xi Jinping, Nursultan Nazarbayev",7.5.2015,7.5.2015,7.5.2015,TRUE,7.5.2015,"May 07, 2015",Kazakhstan,Astana,,http://news.xinhuanet.com/english/2015-05/08/c_134219458.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22210
"Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Hassan Rouhani","Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Hassan Rouhani","Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Hassan Rouhani","Chinese president arrives in Indonesia for Asian-African summit, Bandung commemorations, Xi urges to build new type of international relations on Bandung Spirit, Chinese president starts addressing Asian-African summit, China, Indonesia vow to further deepen comprehensive strategic partnership, Xi, Abe meet in Jakarta on China-Japan ties, China backs political solution to northern Myanmar issue, eyes boosted cooperation, China's proposal at Asian-African summit to benefit people on two continents: Indonesian envoy, Xi raises three-point proposal on carrying forward Bandung Spirit, China pledges support for Zimbabwe's development, China, Cambodia pledge closer cooperation under Belt and Road framework, Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Joko Widodo, Xi Jinping, Shinzo Abe, Xi Jinping, Thein Sein U, Xi Jinping, Xi Jinping, Xi Jinping, Robert Mugabe, Xi Jinping, Hun Sen, Xi Jinping, Hassan Rouhani",22.4.2015 - 23.4.2015,23.4.2015,23.4.2015,TRUE,23.4.2015,"April 23, 2015",Indonesia,Jakarta,,http://news.xinhuanet.com/english/2015-04/23/c_134177935.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22122
"China, Pakistan will always stand together, move forward together: Xi",Xi Jinping,"China, Pakistan will always stand together, move forward together: Xi",Xi Jinping,"China, Pakistan will always stand together, move forward together: Xi",Xi Jinping,"Xi Jinping Meets with Pakistani President Mamnoon Hussain, Xi Jinping Meets with Pakistani Chairman Senate Mian Raza Rabbani and Speaker of the National Assembly Sardar Ayaz Sadiq, China, Pakistan elevate relations, commit to long-lasting friendship, Xi says increasingly confident in China-Pakistan ties, China, Pakistan will always stand together, move forward together: Xi","Xi Jinping, Mamnoon Hussain, Xi Jinping, Sadiq Sadiq, Xi Jinping, Nawaz Sharif, Xi Jinping, Mamnoon Hussain, Xi Jinping",21.4.2015,21.4.2015,21.4.2015,TRUE,21.4.2015,"April 21, 2015",Pakistan,Islamabad,,http://news.xinhuanet.com/english/2015-04/21/c_134171244.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22113
Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference,Xi Jinping,Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference,Xi Jinping,Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference,Xi Jinping,Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference,Xi Jinping,21.4.2015,21.4.2015,21.4.2015,TRUE,21.4.2015,"April 21, 2015",Indonesia,Jakarta,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1257253.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22156
"China, Pakistan elevate relations, commit to long-lasting friendship","Xi Jinping, Nawaz Sharif","China, Pakistan elevate relations, commit to long-lasting friendship","Xi Jinping, Nawaz Sharif","China, Pakistan elevate relations, commit to long-lasting friendship","Xi Jinping, Nawaz Sharif","Xi Jinping Meets with Co-chairman of Pakistan Peoples Party (PPP) Asif Ali Zardari and Leaders of Other Major Political Parties of Pakistan, Chinese president attends welcoming ceremony in Islamabad, China, Pakistan elevate relations, commit to long-lasting friendship","Xi Jinping, Asif Ali Zardari, Xi Jinping, Mamnoon Hussain, Nawaz Sharif, Xi Jinping, Nawaz Sharif",20.4.2015,20.4.2015,20.4.2015,TRUE,20.4.2015,"April 20, 2015",Pakistan,Islamabad,,http://news.xinhuanet.com/english/2015-04/21/c_134167525.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=22086
Chinese president concludes visit to Fiji,Xi Jinping,Chinese president concludes visit to Fiji,Xi Jinping,Chinese president concludes visit to Fiji,Xi Jinping,"China sees Fiji as friend, partner in Pacific island region: Xi, Chinese president pledges continued assistance to Fiji, China, Pacific island countries announce strategic partnership, Chinese president concludes visit to Fiji","Xi Jinping, Epeli Nailatikau, Xi Jinping, Josaia Voreqe Bainimarama, Xi Jinping, Xi Jinping",21.11.2014 - 23.11.2014,23.11.2014,23.11.2014,TRUE,23.11.2014,"November 23, 2014",Fiji,Nadi,,http://news.xinhuanet.com/english/china/2014-11/23/c_133807773.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=21177
"President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, John Key","President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, John Key","President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, John Key","Chinese president arrives in New Zealand for state visit, President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, Jerry Mateparae, John Key, Xi Jinping, John Key",19.11.2014 - 20.11.2014,20.11.2014,20.11.2014,TRUE,20.11.2014,"November 20, 2014",New Zealand,Wellington,,http://news.xinhuanet.com/english/photo/2014-11/20/c_133803576.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=21210
China-Oz province-level forum sets milestone for bilateral cooperation: Xi,"Xi Jinping, Tony Abbott",China-Oz province-level forum sets milestone for bilateral cooperation: Xi,"Xi Jinping, Tony Abbott",China-Oz province-level forum sets milestone for bilateral cooperation: Xi,"Xi Jinping, Tony Abbott","Chinese president arrives in Brisbane for G20 Summit, BRICS countries should raise their voice in global economic governance: Chinese president, Chinese president attends 9th G20 Summit in Brisbane, Australia, Xi proposes reinforcing global economy's anti-risk capacity, Xi calls for bigger role of Queensland in promoting China-Australia relationship, China's Xi, Brazil's Rousseff agree on advancing railway cooperation, President Xi stresses China-EU cooperation, Chinese, French presidents agree to propel comprehensive strategic partnership, China, Australia announce virtual conclusion of FTA negotiations, Chinese President Xi meets with Australian PM Abbott, China-Australia ties have bright prospects: Xi, China eyes more exchange with Australian Labor Party to promote partnership: Xi, Likening China to ""big guy"" in crowd, Xi highlights peaceful development, Xi visits family of old friend in Australia, fulfilling commitment, China, Australia agree to strengthen Antarctic cooperation, Xi hopes New South Wales grasp opportunities to expand cooperation with China, Chinese, Australian leaders pledge closer bilateral ties, China-Oz province-level forum sets milestone for bilateral cooperation: Xi","Xi Jinping, Peter Cosgrove, Xi Jinping, Narendra Modi, Vladimir Putin, Xi Jinping, Xi Jinping, Xi Jinping, Campbell Newman, Xi Jinping, Dilma Rousseff, Xi Jinping, Jean-Claude Juncker, Xi Jinping, Francois Hollande, Xi Jinping, Tony Abbott, Xi Jinping, Tony Abbott, Xi Jinping, Peter Cosgrove, Xi Jinping, Bill Shorten, Xi Jinping, Xi Jinping, Xi Jinping, Tony Abbott, Xi Jinping, Mike Baird, Xi Jinping, Tony Abbott, Xi Jinping, Tony Abbott",14.11.2014 - 19.11.2014,19.11.2014,19.11.2014,TRUE,19.11.2014,"November 19, 2014",Australia,Sydney,,http://news.xinhuanet.com/english/china/2014-11/19/c_133800797.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=21168
Xi Jinping confers friendship award in India,Xi Jinping,Xi Jinping confers friendship award in India,Xi Jinping,Xi Jinping confers friendship award in India,Xi Jinping,"Chinese, Indian presidents pledge cooperation, Chinese president and his wife lay wreath to memorial of Mahatma Gandhi in India, Xi announces new aid for combating Ebola, Xi meets Indian vice president, China, India step up economic engagement despite border disputes, China to open new route for Indian pilgrims to Tibet, China, India should be partners for peace, development: Xi, Xi meets Sonia Gandhi, Manmohan Singh on China-India relations, Xi Jinping confers friendship award in India","Xi Jinping, Pranab Mukherjee, Xi Jinping, Xi Jinping, Xi Jinping, Mamid Ansari, Xi Jinping, Narendra Modi, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping",18.9.2014 - 19.9.2014,19.9.2014,19.9.2014,TRUE,19.9.2014,"September 19, 2014",India,New Delhi,,http://news.xinhuanet.com/english/china/2014-09/19/c_133656854.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20711
Xi starts India visit in Modi's home state,"Xi Jinping, Narendra Modi",Xi starts India visit in Modi's home state,"Xi Jinping, Narendra Modi",Xi starts India visit in Modi's home state,"Xi Jinping, Narendra Modi",Xi starts India visit in Modi's home state,"Xi Jinping, Narendra Modi",16.9.2014,16.9.2014,16.9.2014,TRUE,16.9.2014,"September 16, 2014",India,Ahmedabad,,http://news.xinhuanet.com/english/china/2014-09/17/c_133650894.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20687
Chinese president receives grand welcome in Sri Lanka,"Xi Jinping, Mahinda Rajapaksa",Chinese president receives grand welcome in Sri Lanka,"Xi Jinping, Mahinda Rajapaksa",Chinese president receives grand welcome in Sri Lanka,"Xi Jinping, Mahinda Rajapaksa","Chinese, Sri Lankan presidents agree to deepen strategic cooperative partnership, Chinese, Sri Lankan presidents agree to deepen strategic cooperative partnership, Chinese president receives grand welcome in Sri Lanka","Xi Jinping, Mahinda Rajapaksa, Xi Jinping, Mahinda Rajapaksa, Xi Jinping, Mahinda Rajapaksa",16.9.2014,16.9.2014,16.9.2014,TRUE,16.9.2014,"September 16, 2014",Sri Lanka,Colombo,,http://news.xinhuanet.com/english/photo/2014-09/17/c_133648393_2.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20672
Xi Jinping Meets with Speaker of People's Majlis Abdulla Maseeh Mohamed and Former President Maumoon Abdul Gayoom of Maldives,Xi Jinping,Xi Jinping Meets with Speaker of People's Majlis Abdulla Maseeh Mohamed and Former President Maumoon Abdul Gayoom of Maldives,Xi Jinping,Xi Jinping Meets with Speaker of People's Majlis Abdulla Maseeh Mohamed and Former President Maumoon Abdul Gayoom of Maldives,Xi Jinping,"Chinese president arrives in Maldives for state visit, Chinese president pledges close cooperation with Maldives on climate change, Xi Jinping Holds Talks with President Abdulla Yameen of Maldives
, Xi Jinping Meets with Speaker of People's Majlis Abdulla Maseeh Mohamed and Former President Maumoon Abdul Gayoom of Maldives","Xi Jinping, Abdulla Yameen, Xi Jinping, Xi Jinping, Xi Jinping",14.9.2014 - 15.9.2014,15.9.2014,15.9.2014,TRUE,15.9.2014,"September 15, 2014",Maldives,Male,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1191947.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20682
"China, Tajikistan aim at 3-bln-USD trade in five years",Xi Jinping,"China, Tajikistan aim at 3-bln-USD trade in five years",Xi Jinping,"China, Tajikistan aim at 3-bln-USD trade in five years",Xi Jinping,"Chinese president arrives in Tajikistan for SCO summit, state visit, China backs Russia's 2015 SCO presidency, China, Russia, Mongolia hold trilateral summit, Xi proposes to build China-Mongolia-Russia economic corridor, Xi Jinping Attends Family Banquet Held by President Emomali Rahmon of Tajikistan, Xi Jinping and President Emomali Rahmon of Tajikistan Jointly Attend the Groundbreaking Ceremony of China-Tajikistan Electricity and China-Central Asia Natural Gas Pipeline Cooperative Projects, China, Tajikistan to enhance cooperation in security, law enforcement, China welcomes Tajikistan's participation in Silk Road Economic Belt initiative, China, Tajikistan aim at 3-bln-USD trade in five years","Xi Jinping, Liyuan Peng, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Qohir Rasulzoda, Xi Jinping",11.9.2014 - 13.9.2014,13.9.2014,13.9.2014,TRUE,13.9.2014,"September 13, 2014",Tajikistan,Dushanbe,,http://news.xinhuanet.com/english/china/2014-09/13/c_133640719.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20664
China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",24.7.2014,24.7.2014,24.7.2014,TRUE,24.7.2014,"July 24, 2014",Portugal,Terceira Island,,http://news.xinhuanet.com/english/china/2014-07/24/c_133508818.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20319
Chinese president ends Cuba tour with fruitful results to further ties,Xi Jinping,Chinese president ends Cuba tour with fruitful results to further ties,Xi Jinping,Chinese president ends Cuba tour with fruitful results to further ties,Xi Jinping,"Chinese president arrives in Cuba for state visit, Xi Jinping Holds Talks with President of the Council of State and the Council of Ministers Raúl Castro, Xi Jinping Receives Order of José Marti of Cuba, Chinese president visits Cuban revolutionary leader Fidel Castro, Chinese president visits Cuba's Heroic City, Chinese president ends Cuba tour with fruitful results to further ties","Xi Jinping, Xi Jinping, Raul Castro, Xi Jinping, Xi Jinping, Fidel Castro, Xi Jinping, Raul Castro, Xi Jinping",21.7.2014 - 24.7.2014,24.7.2014,24.7.2014,TRUE,24.7.2014,"July 24, 2014",Cuba,Havana,,http://news.xinhuanet.com/english/china/2014-07/24/c_133508717.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20322
"Xi visits Chavez's mausoleum to pay respect to China's ""great friend""",Xi Jinping,"Xi visits Chavez's mausoleum to pay respect to China's ""great friend""",Xi Jinping,"Xi visits Chavez's mausoleum to pay respect to China's ""great friend""",Xi Jinping,"Chinese president receives Liberator Medal in Caracas, Venezuela, China, Venezuela lift ties to comprehensive strategic partnership, Chinese president arrives in Venezuela for state visit, Xi Jinping Meets with President of the National Assembly Diosdado Cabello of Venezuela, Xi urges stronger parliamentary exchanges between China, Venezuela, Xi visits Chavez's mausoleum to pay respect to China's ""great friend""","Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Diosdado Cabello, Xi Jinping, Diosdado Cabello, Xi Jinping",20.7.2014 - 21.7.2014,21.7.2014,21.7.2014,TRUE,21.7.2014,"July 21, 2014",Venezuela,Caracas,,http://news.xinhuanet.com/english/china/2014-07/22/c_133500516.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20297
"Chinese president sends messages of condolence to Malaysian, Dutch leaders",Xi Jinping,"Chinese president sends messages of condolence to Malaysian, Dutch leaders",Xi Jinping,"Chinese president sends messages of condolence to Malaysian, Dutch leaders",Xi Jinping,"Chinese president arrives in Argentina for state visit, China, Argentina upgrade ties to comprehensive strategic partnership, Chinese president calls for objective probe of MH17 crash, China, Argentina seek closer cooperation, Xi Jinping Receives Key to the City of Buenos Aires, Xi Jinping Visits Argentine Republic Farm, Xi expects more interactions between NPC, Argentine parliament, Chinese president visits Argentine farm, stressing agricultural cooperation, Chinese president sends messages of condolence to Malaysian, Dutch leaders","Xi Jinping, Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Mauricio Macri, Xi Jinping, Julián Domínguez, Xi Jinping, Amado Boudou, Xi Jinping, Julian Dominguez, Xi Jinping",18.7.2014 - 19.7.2014,19.7.2014,19.7.2014,TRUE,19.7.2014,"July 19, 2014",Argentina,Buenos Aires,,http://news.xinhuanet.com/english/china/2014-07/19/c_133496224.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20262
Xi attends summit with LatAm and Caribbean leaders,Xi Jinping,Xi attends summit with LatAm and Caribbean leaders,Xi Jinping,Xi attends summit with LatAm and Caribbean leaders,Xi Jinping,"Chinese president urges early negotiated solution to border issues with India, Chinese, U.S. presidents hail results of bilateral strategic dialogue, China ""true in word, resolute in deed"" on cooperation with Russia: Xi, Chinese president arrives in Brazil for BRICS summit, BRICS to establish development bank, reserve arrangement, Xi Jinping Meets with President of the Senate Renan Calheiros and President of the Chamber of Deputies Henrique Eduardo Alves of Brazil, Xi Jinping Meets with President Rafael Correa Delgado of Ecuador, Chinese, Peruvian presidents pledge to boost cooperation, Xi proposes trilateral work group on transcontinental S. American railway, BRICS, S.American countries ""rising power"" in int'l structure: Chinese president, Chinese, Chilean presidents agree to boost cooperation, Chinese president expects stronger ties with Brazil, L. America, Xi hails CELAC Quartet as ""good partner"" of China, Xi attends summit with LatAm and Caribbean leaders","Xi Jinping, Narendra Modi, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Vladimir Putin, Narendra Modi, Dilma Rousseff, Jacob Zuma, Xi Jinping, Renan Calheiros, Henrique Eduardo Alves, Xi Jinping, Rafael Correa Delgado, Xi Jinping, Ollanta Humala, Xi Jinping, Ollanta Humala, Xi Jinping, Xi Jinping, Michelle Bachelet, Xi Jinping, Xi Jinping, Luis Guillermo Solis, Raul Castro, Rafael Correa, Xi Jinping",14.7.2014 - 17.7.2014,17.7.2014,17.7.2014,TRUE,17.7.2014,"July 17, 2014",Brazil,Brasilia,,http://news.xinhuanet.com/english/photo/2014-07/18/c_133494286.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20267
"#China, #Greece vow to further deepen bilateral ties","Xi Jinping, Karolos Papoulias","#China, #Greece vow to further deepen bilateral ties","Xi Jinping, Karolos Papoulias","#China, #Greece vow to further deepen bilateral ties","Xi Jinping, Karolos Papoulias","#China, #Greece agree to enhance comprehensive strategic partnership, #China, #Greece vow to further deepen bilateral ties","Xi Jinping, Antonis Samaras, Xi Jinping, Karolos Papoulias",13.7.2014,13.7.2014,13.7.2014,TRUE,13.7.2014,"July 13, 2014",Greece,Rhodes,,http://news.xinhuanet.com/english/china/2014-07/14/c_126746192.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=20207
